country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,27.6,,,,
Albania,,,,,,,,,,,,,,,,,,19.5,,,11.2,,,10.1,,,,13.6,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,47.8,40.2,33.8,26.9,20.6,15.3,13.2,9.9,6.5,5.4,4.7,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,27.6,33.7,35.7,35.2,32.5,32.2,30,
Azerbaijan,,,,,,,,,,,,,,,,,55.7,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,35.2,,,,,28.4,,,,,21.3,,,,,
Belarus,,,,,,,,,,,,,,,,37.9,,,,,10.9,9.1,5.6,4.4,4,3.8,5.8,5.2,4.2,3.7,3.7
Benin,,,,,,,,,,,,,,,,,,,,,,35.4,28.3,,29.8,,31.4,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,1.8,,,
Bolivia,,,,,,,,,,,,,,,,54.5,54.3,53.9,,54.4,51.1,50.3,50.9,48.7,43.5,,36.8,34.7,29,30.6,
Botswana,30,,,,,,,,24.7,,,,,,,,,19.4,,,,,,,11,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,22.2,,,,,,25.2,,,,,13.7,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,
Cambodia,,,,,,,,,,,,,,,,,,,28.5,,,18.3,,15.1,8,8.5,8.7,6.4,,,
Cameroon,,,,,,,,,,,,41.4,,,,,17.9,,,,,,12.2,,,,,,,8.9,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,49.6,,,,,,,
Chad,,,,,,,,,,,,,,,,,,24.4,,,,,,,,,20.9,,,,
Chile,,,43.6,,,38.5,,32.7,,27,,22,,20.7,,19.7,,,18.5,,,25.8,,,22.6,,19.9,,12.4,,
Colombia,,,,,,,,,,,,,,,,,,45.5,44.9,43.7,41.1,,,37.4,36,33.3,30.3,28.4,26.9,24.6,24.1
Comoros,,,,,,,,,,,,,,,,,,,,34.5,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,43.3,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,19,19.7,18.2,18.2,19.5,19.4
Cote d'Ivoire,,,,,,,,,,,,,,,,,,24.5,,,,,,29.4,,,,,,,35.9
Dominican Republic,,,,,,,,,,,,,,,,23.7,24.8,24.9,33.9,44.4,42.8,38.8,39.1,38.8,37.9,37.3,36.5,36.8,36.3,,
Ecuador,,,,,,,,,,,,,,,,54.6,45.3,,38.8,32.5,31,25.9,24.3,22.6,25,22.5,17.4,16.1,17.6,16.4,
Egypt,,,,,,,,,,,,,,,,9.3,,,,10.1,,,,11,,15.3,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,30.9,27.7,29.8,35.7,33.3,33,35.4,29.9,26.2,28.5,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,31.5,,,,,,,,,
Eritrea,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,33.2,,,,36.9,,,,,35.1,,,,,,25.7,,,,,
Fiji,,,,,,,,,,,,,,,,,,34.5,,,,,,26.2,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,29.8,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,10.6,,,
Guatemala,,,,,,,,,,,,,,,,27.1,,,,,,30,,,,,,,,42.2,
Guinea,,,,,,,,,,17.5,,,,,,,,23.5,,,,,30.5,,,,,35.4,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,51.6,,,,,,,,51,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,
Honduras,,,,,,,,,,,,,,,,,55.9,58,57.5,57.1,57.7,52.9,51,55.2,52.8,54.3,58.5,63.6,60.4,61,
India,,,,,,,,,31.8,,,,,,,,,,,25.7,,,,,20.9,,13.7,,,,
Indonesia,,,,,,,,,,,,13.4,,,19.4,,,14.5,13.6,12.1,11.7,13.5,12.5,11.7,10.7,9.9,9.2,8.8,8.4,8.3,
Iraq,,,,,,,,,,,,,,,,,,,,,,15.7,,,,,,14.8,,,
Jamaica,,,,,,,16.1,22.8,,,,,,5.5,11.1,12.6,9.9,10.6,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,36,33,24.7,23.4,20.2,13.6,6.9,8.1,4.1,3.7,2.4,1.9,1.3,1.3,1.3
Kenya,,,,,,,,,,,,,,,,,,,,,33.7,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,26.7,23.2,22.6,21.9,23.6,30.7,35.4,28.5,26.9,29.3
Lao,,,,,,,,,,,,,22.1,,,,,19.7,,,,,17.4,,,,,10,,,
Lesotho,,,,,,,,,,36.7,,,,,,,,41.5,,,,,,,,39.6,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,55.1,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,45.6,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,54.9,,,,,,,25.4,,,,,,17.3,,,,,
Malaysia,,,,,,,,,,,,,,,,,,2.3,,2.5,,,2,,1.7,,,1,,0.3,
Maldives,,,,,,,,,,,,,,,,,,17.5,,,,,,,18.2,,,,,,
Mauritania,,,,,,,,,,,,,,,,28.5,,,,28.9,,,,20.8,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,44.8,,47.8,,48.3,,50.5,
Moldova,,,,,,,,,,,,,,,,,,,,,,24.8,18.4,15.2,12.6,10.4,7.4,8.2,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,28.7,23.3,,18.8,
Montenegro,,,,,,,,,,,,,,,,,,,,,8.1,7.4,5.5,2.4,2.6,4,4.4,8.1,7.9,,
Morocco,,,,,,,,,,,,,,9.5,,7.6,,,,,,,4.8,,,,,,,,
Mozambique,,,,,,,,,,,,62,,,,,,51.5,,,,,,49.6,,,,,,,
Namibia,,,,,,,,,39,,,,,,,,,,17,,,,,,14.6,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,30.9,,,,26.8,,,,,14.8,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,,,
Nigeria,,,,,,,,,,,,,,,,,,,37.9,,,,,,34.1,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,26.1,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,48.2,44.5,37,30.1,25.4,21.3,20,18,16.6,16.1,15.3,
Philippines,,,,,,,,,,,,,,,,,,,,,,12.6,,,12.6,,,13,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,28.5,,,,,22.1,,,,,
Senegal,,,,,,,,,,,,,,,,41.2,,,,,33.6,,,,,33.1,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,46.9,,,,,,,,31.2,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,7.9,,,,6.7,,,5.3,,,2.1,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,,,,
Swaziland,,,,,,,,,,,,,,,,35.5,,,,,,,,,31.1,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,28.5,,,30.8,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,23.5,23.2
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,,
Thailand,,,,,,,,,,,,,,,,22.2,,17,,14.6,,11.8,11.3,10.7,10.2,8.7,9,8.8,7.7,,
Timor-Leste,,,,,,,,,,,,,,,,,25.2,,,,,,38.3,,,,,,,28.3,
Togo,,,,,,,,,,,,,,,,,,,,,,37.2,,,,,34.6,,,,35.9
Turkey,,,,,,,,,,,,,,,,,,24.6,18.3,13.5,10.1,6.1,4.4,3.1,1,1,0.9,0.6,0.6,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,,,
Uganda,,,,,,,,28.8,,,,16.7,,,9.6,,,14.4,,,13.7,,,,9.1,,,9.6,,,
Uruguay,,,,,,,,,,,,,,,,,,35.2,39.4,39.9,36.6,32.6,30,24.4,21.5,18.7,14.3,13.1,12,10.1,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,6,,5.4,,3.8,
Yemen,,,,,,,,,,,,,,,,,,,,,20.7,,,,,,,,,,
